"","Title","PID","Description","alttitle","publisher","date","item","key","resource","topic","geo"
"6169","President's home, Grinnell College, Grinnell, Iowa","grinnell:13412","Looking northwest from Park Street. Grinnell House was the home of each president of the College from 1917 to 1961. The building was designed by William H. Brainerd and was opened in 1917 as the home of President and Mrs. John H.T. Main. It was changed into a guest house in the early 1960's. Number B-147","Stewart Public Library","Hall, KRUZO",1942,"Iowa Historical Postcard Collection (IHPC)","1011 Park Street, Grinnell, Poweshiek County, Iowa","still image","Poweshiek County (Iowa), Grinnell (Iowa), Universities & colleges, Educational facilities, College presidents, Houses, Grinnell College",NA
"6170","President's house, Grinnell College, Grinnell, Iowa","grinnell:14002","Looking northwest. The president's house on 1600 Park Street was built in 1961. Number C13315.",NA,"Es-N-Len Photos (Aurora, Ill.)",1970,"Ivan Sheets Collection","1600 Park Street, Grinnell, Poweshiek County, Iowa","still image","Poweshiek County (Iowa), Grinnell (Iowa), Universities & colleges, Residential facilities, Houses, Grinnell College",NA
"6171","Presidential Election Panel","grinnell:5241","Poster advertising a panel discussion on the 2012 Presidential election held on October 8, 2012, with panelists Barb Trish, Kathie Obradovich, and David Shribman and sponsored by the Rosenfield Program.",NA,"Grinnell College",2012,"Digital Grinnell, Campus events -- grinnell-collection:38",NA,"Poster","Presidents -- Election","United States"
"6172","Presidential Inauguration","grinnell:5206","Poster advertising a campus viewing of the presidential inauguration of Barack Obama on January 21, 2013, sponsored by the Rosenfield Program.","Campus Viewing of the Presidential Inauguration","Grinnell College",2013,"Digital Grinnell",NA,"Poster","Biden, Joseph R., Presidents -- Inauguration, Obama, Barack","United States"
"6173","Presidential Motor Inn, West Branch, Iowa","grinnell:14750","Presidential Motor Inn, West Branch, Iowa",NA,"Wittkowski, Bill, Carlisle, Iowa",NA,NA,NA,"still image","Advertising cards, Public accommodation facilities, Motels, Interiors, AAA",NA
"6174","Presidents Home, Grinnell College, Grinnell, Ia. -- B-147","grinnell:11786","View of Grinnell House at the northwest corner of 5th Avenue and Park Street in Grinnell, Iowa. Grinnell House was the college president's residence from 1917-1961. Since that time it has served as a guest house. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-3, Grinnell College.","Grinnell House","Poweshiek History Preservation Project",1920,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives, Campus Buildings","1920s, Grinnell, Education","still image","Architecture, Domestic, Grinnell House (Grinnell, Iowa), College presidents -- Dwellings","Grinnell (Iowa)"
"6175","Press Conference","grinnell:5862","Photo of press conference with foreign correspondents with (from left) Renee Gosset, France Guenther DeThier, Germany Ulrich Schiller, Germany Patrick Brogan, Great Britain Nissim Kivity, Israel Nobuyaki Sato, Japan.",NA,"Grinnell College",1975,"Digital Grinnell",NA,"Photograph",NA,"Grinnell"
"6176","Preston Opera House","grinnell:6493","Preston Opera House at 829-831 Main Street in Grinnell, Iowa, built 1877. Businesses on lower level are Preston & Preston Grocers and Bakers and Hammond and Janes Boots and Shoes. Written on verso: ""Property of Mrs. Grant Ramsey, please return to Fred Ramsey, Grinnell, Iowa."" Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-2, Grinnell Buildings.",NA,"Poweshiek History Preservation Project",1890,"grinnell-collection:1, grinnell-collection:30, grinnell-collection:37","1890s, Grinnell, Business",NA,"Central business districts, Preston Opera House (Grinnell, Iowa), Theaters -- Iowa -- Grinnell","Grinnell (Iowa)"
"6177","Preston Store","grinnell:3289","Photograph of the Preston Store located at the southwest corner of 4th Avenue and Main Street. The frame construction with wood awnings was built in 1889.; Street Address: West side of Main Street, south of 4th Avenue",NA,"Grinnell College",1890,"Digital Grinnell, John Kleinschmidt Collection, Poweshiek History Preservation Project","Grinnell, Grant, Business, 1890s","Photograph",NA,NA
"6178","Preston's Parade Float in 1948 Grinnell Day Parade","grinnell:19340","Preston's parade float in the 1948 Grinnell Day Parade in Grinnell, Iowa. The float has two men standing on it and it is pulled by a small red Jeep. Drake Community Library (Grinnell, Iowa) Archives. Chamber of Commerce Slides, p.1, slide 15.",NA,"Poweshiek History Preservation Project",1948,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1940s, Grinnell, Events & Celebrations","still image","Parades, Parade floats, Overalls, Costume, ","Grinnell (Iowa)"
"6179","Pretty Cave at Pictured Rocks In Proposed National Park, McGregor, Iowa","grinnell:15419","Pretty Cave at Pictured Rocks In Proposed National Park, McGregor, Iowa",NA,"Horning, A.A., McGregor, Iowa",NA,NA,NA,"still image","Parks, Caves, Rock formations",NA
"6180","Primary Room, Princeton, Iowa","grinnell:15737","Primary Room, Princeton, Iowa",NA,NA,NA,NA,NA,"still image","Educational facilities, Schools, Public schools, Classrooms, School children",NA
"6181","Primary School Building, Northwood, Iowa","grinnell:15268","Primary School Building, Northwood, Iowa",NA,NA,NA,NA,NA,"still image","Educational facilities, Schools, Public schools",NA
"6182","Primary School, New Hartford, Iowa","grinnell:15291","Primary School, New Hartford, Iowa",NA,"King, W.S., Algona, Iowa",NA,NA,NA,"still image","Educational facilities, Schools, Public schools, Dirt roads, Residential facilities",NA
"6183","Primitive Skills in the Modern World","grinnell:225","The first year tutorial, taken in the fall semester, is Grinnell College's only general academic course requirement. The college intends the tutorial to assist students in further developing their critical thinking skills and in improving their written and oral communication skills. Each of the tutorials offered in a given fall semester is based around a particular subject matter, which provides the vehicle by which the above goals are accomplished. Modern popular culture is seeing a revival of interest in primitive skills. Practical experience; reading and writing will be applied to the the exploration of primitive.","Tutorial, Fall 2003, Whittaker","Grinnell College",2003,"Digital Grinnell, Liberal Arts Scholarly Repository -- grinnell-auth:162, Grinnell College. Tutorial, Curricular Materials","Tutorial.","text","Primitive societies, Survival",NA
"6184","Princess excursion boat, Clear Lake, Iowa","grinnell:14049","The Touristville Boat Livery's Princess passenger boat #90 had daily boat tours and on Sunday. Number D-418.",NA,"L.L. Cook Co. (Milwaukee, Wis.), Kodak Paper",1950,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Clear Lake (Iowa), Boats, Lakes & ponds, Clear Lake, Ferries, Cerro Gordo County (Iowa), Princess passenger boat",NA
"6185","Princess passenger boat, Clear Lake, Iowa","grinnell:14050","The Touristville Boat Livery's Princess passenger boat had daily boat tours and on Sunday. 1957 postmark. Number 23909. Series C-403. Copyright 1957, L.L. Cook, Co.",NA,"L.L. Cook Co. (Milwaukee, Wis.)",1957,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Clear Lake (Iowa), Boats, Ferries, Lakes & ponds, Clear Lake, Sightseers, Cerro Gordo County (Iowa), Princess passenger boat",NA
"6186","Priscilla Trask Wire","grinnell:23215","Black and white print mounted on presentational studio cardboard with identifying information on the front (typed and glued to frame) and back (in ink). Mrs. Wire is seated in front of a large spinning wheel, knitting yarn she has probably spun. She appears to be in her 70s or 80s, wearing a dark-colored dress with a light collar. The typed information reads ""PRISCILLA TRASK WIRE / b. April 9,1830 ** d. June 24, 1914 / Married Truman C. Wire, Jan. 30, 1847 / Great Grandmother of Ruth Neely Rainier."" Inscription on back reads ""Grandma Wire.""",NA,"Poweshiek History Preservation Project",1900,"Digital Grinnell, Poweshiek History Preservation Project, Grinnell Historical Museum","1900s, 1910s, Family Life","still image","Spinning-wheel, Great-grandmothers, Wire, Priscilla Trask (1830-1914), Clothing and Dress, Knitters (Persons), Grinnell Historical Museum",NA
"6187","Prison Guards, Iowa State Penitentiary, Fort Madison, Iowa","grinnell:15927","Prison Guards, Iowa State Penitentiary, Fort Madison, Iowa",NA,NA,NA,NA,NA,"still image","Detention facilities, Prisons, Prison guards",NA
"6188","Prison View, Iowa Penitentiary, Fort Madison, Iowa","grinnell:15920","Prison View, Iowa Penitentiary, Fort Madison, Iowa",NA,NA,NA,NA,NA,"still image","Detention facilities, Prisons",NA
"6189","Prison View, Iowa Penitentiary, Fort Madison, Iowa","grinnell:15602","Prison View, Iowa Penitentiary, Fort Madison, Iowa",NA,NA,NA,NA,NA,"still image","Detention facilities, Prisons, Vehicles, Carts and wagons",NA
"6190","Prison View, Iowa Penitentiary, Fort Madison, Iowa","grinnell:14708","Prison View, Iowa Penitentiary, Fort Madison, Iowa",NA,NA,NA,NA,NA,"still image","Detention facilities, Prisons, Aerial views",NA
"6191","Prison View, Iowa Penitentiary, Fort Madison, Iowa","grinnell:15921","Prison View, Iowa Penitentiary, Fort Madison, Iowa",NA,NA,NA,NA,NA,"still image","Detention facilities, Prisons, Aerial views",NA
"6192","Prison View, Iowa State Penitentiary, Fort Madison, Iowa","grinnell:15924","Prison View, Iowa State Penitentiary, Fort Madison, Iowa",NA,NA,NA,NA,NA,"still image","Detention facilities, Prisons, Aerial views",NA
"6193","Prisoners, Iowa State Penitentiary, Fort Madison, Iowa","grinnell:15928","Prisoners, Iowa State Penitentiary, Fort Madison, Iowa",NA,NA,NA,NA,NA,"still image","Detention facilities, Prisons, Prisoners",NA
"6194","Priya Satia; The Great War in the Middle East","grinnell:23070","Invitation to a talk by Priya Satia, Associate Professor of Modern British History, Stanford University on the Middle East as a critical arena in the global conflict known as World War One and the British tactics on that front.","Great War in the Middle East.","Grinnell College",2014,"Digital Grinnell, Campus Events",NA,"Text","World War, 1914-1918., Tactics., History.","Middle East., Great Britain., Grinnell (Iowa)"
"6195","Pro-Choice Rally, 1990","grinnell:19976","Students hold a pro-choice rally.",NA,"Grinnell College",1990,"Digital Grinnell","Students, Activism","still image",NA,"Grinnell (Iowa)"
"6196","Processional at 1972 Commencement","grinnell:5181","1972 Commencement processional.",NA,"Grinnell College",1972,"Digital Grinnell","commencement, processional","Photograph",NA,NA
"6197","Proctor Building","grinnell:21345","The Proctor building in Grinnell, Iowa when it housed the Hair Hutch and Family Dentistry. Drake Community Library (Grinnell, Iowa) Archives. Main Street Slides, p.9, slide 13.",NA,"Poweshiek History Preservation Project",1987,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","Grinnell, 1980s, Buiness","still image","Central business districts, Family Dentistry (Grinnell, Iowa), Hair Hutch (Grinnell, Iowa), Proctor Building (Grinnell, Iowa), Automobiles","Grinnell (Iowa)"
"6198","Professional Photographs of Grinnell College (1966)","grinnell:4964","These are professional photographs taken of various parts of the college campus in 1966.",NA,"Grinnell College",1966,"Digital Grinnell -- grinnell-collection:1",NA,"Photograph",NA,"Grinnell"
"6199","Professional Photographs of Grinnell College (1968)","grinnell:4965","These are professional photographs of the Grinnell College campus taken in 1968.",NA,"Grinnell College",1968,"Digital Grinnell -- grinnell-collection:1",NA,"Photograph",NA,"Grinnell"
"6200","Professor","grinnell:12905","Grinnell College professor in the classroom, circa 1983-1985.",NA,"Grinnell College",NA,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives",NA,"still image","College professors, College students--Education, Women, African American, Women, profeessors, African American","United States, Iowa, Grinnell"
"6201","Professor Boyd in WWII Red Cross Uniform","grinnell:5846","Associate Professor of English Evelyn M. Boyd in a World War II Red Cross uniform.",NA,"Grinnell College",1952,"Digital Grinnell","World War II, Evelyn Boyd, Red Cross","Photograph",NA,NA
"6202","Professor Bridgham Playing the Drum","grinnell:5847","Professor Emeritus John M. Bridgham at the drum.",NA,"Grinnell College",1966,"Digital Grinnell","John Bridgham, professor emeritus","Photograph",NA,NA
"6203","Professor Charles Honer Psychology Test","grinnell:5892","Professor Charles Honer and John Copeland, class of 1959, performing a psychology test.",NA,"Grinnell College",1958,"Digital Grinnell","Charles Honer, psychology test, John Copeland","Photograph",NA,NA
"6204","Professor Conard in Amsterdam","grinnell:201","Two newspaper articles about Henry S. Conard's visit to Amsterdam, one from July 9th, 1935 and one from September 3rd, 1935. On this visit, he presented his paper on the sociology of American plant life to the Sixth International Botanical Congress.",NA,"Grinnell College",1935,"Faculty Scholarship, Digital Grinnell, Grinnell College. Special Collections and Archives","International Botanical Congress (6th: 1935: Amsterdam, Holland)","text","Conard, Henry Shoemaker, 1874-1971","Amsterdam (Holland)"
"6205","Professor Don Smith and students, 1973","grinnell:19872","Left to right: Professor Don A. Smith; Frank Stoller; center front: Susan J. Grodsky, class of 1974.",NA,"Grinnell College",1972,"Digital Grinnell","Students, Professors, Classroom","still image",NA,"Grinnell (Iowa)"
"6206","Professor Jepsen and Student, Undated","grinnell:19873","Professor Jepsen and student at blackboard, early 1970s.",NA,"Grinnell College",1970,"Digital Grinnell","Students, Professors, Classroom","still image",NA,"Grinnell (Iowa)"
"6207","Professor John Burma with his Sociology Class","grinnell:20030","Students in the classroom with sociology Professor John Burma.",NA,"Grinnell College",1952,"Digital Grinnell","Students, Classroom, Sociology, Professors","still image",NA,"Grinnell (Iowa)"
"6208","Professor Lecturing to a Large Class","grinnell:23430","A professor lectures to a large classroom.",NA,"Grinnell College",1950,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives","Students, Lecture, Classroom","still image",NA,"Grinnell (Iowa)"
"6209","Professor Lecturing to a Large Class","grinnell:23410","A professor lectures to a large classroom.",NA,"Grinnell College",1950,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives","Students, Lecture, Classroom","still image",NA,"Grinnell (Iowa)"
"6210","Professor Lovell and Faculty Children","grinnell:5844","Professor Lovell and two faculty children carving pumpkins.",NA,"Grinnell College",1948,"Digital Grinnell, Life at Grinnell College",NA,"still image","Lovell, George D., Jack-o-lanterns","Grinnell (Iowa)"
"6211","Professor McKibben and Gary Johnson","grinnell:5057","Photo of professor McKibben and Gary Johnson",NA,"Grinnell College",1968,"Poweshiek History Preservation Project, Digital Grinnell",NA,"Photograph",NA,"Grinnell (Iowa)"
"6212","Professor Mendoza with Biology Class","grinnell:20042","Professor Mendoza lecturing his biology class.",NA,"Grinnell College",1952,"Digital Grinnell","Students, Professors, Biology, Class, Science","still image",NA,"Grinnell (Iowa)"
"6213","Professor Prescott's Journalism Class","grinnell:20044","Mr. Herbert Prescott, associate professor of English (journalism), teaching a class.",NA,"Grinnell College",1952,"Digital Grinnell","Students, Professors, Class, Journalism, English","still image",NA,"Grinnell (Iowa)"
"6214","Professor at blackboard","grinnell:19875","Professor at blackboard.",NA,"Grinnell College",1977,"Digital Grinnell","Professors, Classroom","still image",NA,"Grinnell (Iowa)"
"6215","Professor of Classics William McKibben in the college bookstore","grinnell:3473","Professor of Classics William McKibben browsing in the college bookstore.",NA,"Grinnell College",1971,"Digital Grinnell","William McKibben, Classics, College Bookstore","Photograph",NA,"College bookstore"
"6216","Programme, Thirty-fourth Annual Meeting of the Iowa Equal Suffrage Association","grinnell:5224","Program of the 34th annual meeting the the Iowa Equal Suffrage Association held in Panora, Iowa, on November 9-11, 1905. Drake Community Library (Grinnell, Iowa) Archives. Collection #161.","Iowa Equal Suffrage Association Thirty-fourth Annual Meeting Programme","Iowa Equal Suffrage Association",1905,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1900s, Organizations, Government","Event Program","Women -- Suffrage","Iowa"
"6217","Project Interaction : What Was Life Like for a Child Sixty Years Ago?","grinnell:6050","Interviews conducted with Grinnell senior citizens by the various clubs of the Poweshiek Council of Campfire Girls. Interviews with Henry Alden, Katherine Kintzinger Cramer, Elizabeth Hempstead Ernst, Lucille Potts, George Ernst, Hester Sperling Wells, Mrs. Van Nimwigian, Edna Tinnes, Vera Hyde, Dorothy Elliott Sisco, Doris White Anderson, Lola Clark Fields, and Harvey Marcum.","What Was Life Like for a Child Sixty Years Ago?","Poweshiek History Preservation Project",1979,"Digital Grinnell, Poweshiek History Preservation Project","1910s, Grinnell, Family life","Text","Oral history","Poweshiek County (Iowa), Grinnell (Iowa)"
"6218","Project LEAP Trash Team","grinnell:5751","Photo of project LEAP's ""Trash Team"" in Campus Post Office with Kenneth E. Schofield '71 (left) and Gary L. Duke '71 (right)",NA,"Grinnell College",1971,"Digital Grinnell","LEAP project","Photograph",NA,"Grinnell"
"6219","Prolific the Rapper","grinnell:23136","Announcing a concert and panel discussion with Aaron Turgeon.","Aaron Turgeon, Native American Artist for the Standing Rock Movement","Grinnell College",2016,"Digital Grinnell, Campus Events",NA,"Text","Rap (Music), Petroleum pipelines -- Environmental aspects","Standing Rock Indian Reservation (N.D. and S.D.)"
"6220","Proposal for Black Library","grinnell:4979","A proposal for the Randal Morgan Collection in Burling Basement",NA,"Grinnell College",NA,"Digital Grinnell -- grinnell-collection:1","black library, burling, concerned black students, proposal","Other",NA,NA
"6221","Proposed Building for Leisure","grinnell:5232","Photo of a proposed building for training in the use of leisure",NA,"Grinnell College",NA,"Digital Grinnell",NA,"Photograph",NA,"Grinnell (Iowa)"
"6222","Proposed Grinnell College Campus","grinnell:3200","A map of the Grinnell College campus, including proposed campus buildings, most of which were never built, dating from about 1915.","General Plan: Grinnell College Campus","Grinnell College",1915,"Digital Grinnell, Campus Buildings",NA,"still image","Designs and plans, Grinnell College, Maps","Grinnell (Iowa)"
"6223","Prospect Park, Waterloo, Iowa","grinnell:14599","Prospect Park, Waterloo, Iowa",NA,NA,NA,NA,NA,"still image","Parks, Gardens, Dirt roads",NA
"6224","Prospects for Future American-Egyptian Relations","grinnell:5124","Poster advertising talk by Maged Refaat Aboulmagd, Consul General of Egypt in Chicago, on November, 28, 2012, sponsored by the Rosenfield program and the Center for International Studies.",NA,"Grinnell College",2012,"Digital Grinnell, Campus events",NA,"Poster","United States -- Foreign relations -- Egypt, Egypt -- Foreign relations -- United States",NA
"6225","Protest for Gay Resource Center","grinnell:5911","This is a photograph of a student protest which advocated for the creation of a gay resource center. The photograph shows Jim Tederman (Dean of Students), on the right, facing a group of student protestors. The protest took place at Grinnell College in May 1986.",NA,"Grinnell College",1986,"Digital Grinnell","Protest","Photograph",NA,"Grinnell"
"6226","Pseudodiadema taxana(?)","grinnell:17229","",NA,NA,NA,NA,NA,"still image",NA,"Texas"
"6227","Psychology Experiment, 1963","grinnell:19998","Psychology experiment.",NA,"Grinnell College",1963,"Digital Grinnell","Academics, Class, Psychology","still image",NA,"Grinnell (Iowa)"
"6228","Public Discourse and Social Tolerance: New Ideas for Russian Society","grinnell:111","While we, as citizens of the world, are better off in a less belligerent international environment, the population of the former Soviet Union is now suffering through a difficult period of social, economic and political upheaval.","New ideas for Russian society","Grinnell College",1994,"Frederick Baumann Essay Prize, Liberal Arts Scholarly Repository, Digital Grinnell, Student Scholarship","Frederick Baumann Essay Prize (1994)","text","Politics and government, Russia (Federation), Economic conditions","Russia (Federation)"
"6229","Public Drinking Fountain, Ottumwa, Iowa","grinnell:15199","Public Drinking Fountain, Ottumwa, Iowa",NA,"Acmegraph Co., Chicago, Ill.",NA,NA,NA,"still image","Fountains, Drinking fountains, Parks",NA
"6230","Public High School, Fonda, Iowa","grinnell:16764","Public High School, Fonda, Iowa",NA,NA,NA,NA,NA,"still image","Educational facilities, Schools, Public schools",NA
"6231","Public Humanities in a Digital World : A Report in Progress from the University of Iowa","grinnell:5140","Poster advertising a talk by Jon Winet on October 30, 2012, sponsored by the Center Humanities in their series, Humanities for Life.","Humanities for Life, A Report in Progress from the University of Iowa","Grinnell College",2012,"Digital Grinnell, Campus Events -- grinnell-collection:38, Life at Grinnell College","Digital humanities","text","Digital media, Humanities",NA
"6232","Public Library and Y.M.C.A., Muscatine, Iowa","grinnell:15328","Public Library and Y.M.C.A., Muscatine, Iowa",NA,"Grossheim, Alexander, Muscatine, Iowa",NA,NA,NA,"still image","Cultural facilities, Public libraries, Youth organizations, YMCA, Young Men's Christian Associations",NA
"6233","Public Library, Davenport, Iowa","grinnell:16198","This 1904 Carnegie Library, the largest west of the Mississippi River, was built at the cost of $75,000 donated by Andrew Carnegie. The building was designed by Boston architect Calvin Kiessling. Due to structural damage, the Carnegie building was demolished in 1968. The building was located at 399 North Main Street, Davenport, Scott County, Iowa. 1916 postmark. Number 221147.","Davenport Public Library, Carnegie Library","Hickey Brothers (Davenport, Iowa), Curteich & Co., Inc. (Chicago, Ill.)",1945,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Public libraries, Cultural facilities, Carnegie libraries, Scott County (Iowa), Davenport (Iowa)",NA
"6234","Public Library, De Witt, Iowa","grinnell:16072","Public Library, De Witt, Iowa",NA,"Brumer, U.S., Pub.",NA,NA,NA,"still image","Cultural facilities, Public libraries",NA
"6235","Public Library, Des Moines, Iowa","grinnell:18814","Looking southwest at the 1903 three-story Beaux Arts style building designed by Des Moines architects, Gutterson & Smith, and constructed of salmon pink Minnesota limestone. It was the project of the Works Progress Administration. The building originally featured a fountain and stone steps, which were removed in 1955. It is no longer a library, but was acquired by the World Food Prize and is being renovated to serve as a museum to recognize great achievements in agriculture, a convocation center that will hold the World Food Prize International Symposium, a home for the Global Youth Institute, an educational facility that will feature interactive displays on hunger and food security and a conference center and community hall. It is located on Locust Street and listed in the National Register of Historic Places. Number 15354.","Public Library of Des Moines","Hyman's News and Book Store (Des Moines, Iowa)",1910,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Polk County (Iowa), Des Moines (Iowa), Cultural facilities, Public libraries, Fountains, Public Library of Des Moines, World Food Prize",NA
"6236","Public Library, Des Moines, Iowa","grinnell:18813","Looking northwest at the 1903 three-story Beaux Arts style building designed by Des Moines architects, Gutterson & Smith, and constructed of salmon pink Minnesota limestone. It was the project of the Works Progress Administration. The building originally featured a fountain and stone steps, which were removed in 1955. It is no longer a library, but was acquired by the World Food Prize and is being renovated to serve as a museum to recognize great achievements in agriculture, a convocation center that will hold the World Food Prize International Symposium, a home for the Global Youth Institute, an educational facility that will feature interactive displays on hunger and food security and a conference center and community hall. It is located on Locust Street and listed in the National Register of Historic Places. 1921 postmark.","Public Library of Des Moines",NA,1921,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Polk County (Iowa), Des Moines (Iowa), Cultural facilities, Public libraries, Public Library of Des Moines, World Food Prize",NA
"6237","Public Library, Eagle Grove, Iowa","grinnell:16018","Public Library, Eagle Grove, Iowa",NA,NA,NA,NA,NA,"still image","Cultural facilities, Public libraries",NA
"6238","Public Library, Eldora, Iowa","grinnell:16007","Public Library, Eldora, Iowa",NA,"Linnell Co., Importers & Publishers, Eldora, Iowa",NA,NA,NA,"still image","Cultural facilities, Public libraries",NA
"6239","Public Library, Fort Dodge, Iowa","grinnell:15903","Public Library, Fort Dodge, Iowa",NA,NA,NA,NA,NA,"still image","Cultural facilities, Public libraries",NA
"6240","Public Library, Grinnell, IA. 994","grinnell:6269","Postcard view of Stewart Library on Broad Street in Grinnell, Iowa, about 1934. Published by L.L. Cook Company, Milwaukee. Drake Community Library (Grinnell, Iowa) Archives. McNally photographs. Collection #1, Series #1-1.",NA,"Poweshiek History Preservation Project",1934,"Digital Grinnell -- grinnell-collection:1, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1930s, Grinnell, Organizations","Image","Public libraries -- Buildings, Stewart Library (Grinnell, Iowa)",NA
"6241","Public Library, Guthrie Center, Iowa","grinnell:15828","Public Library, Guthrie Center, Iowa",NA,NA,NA,NA,NA,"still image","Cultural facilities, Public libraries",NA
"6242","Public Library, Hawarden, Iowa","grinnell:15551","Public Library, Hawarden, Iowa",NA,NA,NA,NA,NA,"still image","Cultural facilities, Public libraries",NA
"6243","Public Library, Jefferson, Iowa","grinnell:15717","Public Library, Jefferson, Iowa",NA,NA,NA,NA,NA,"still image","Cultural facilities, Public libraries",NA
"6244","Public Library, Logan, Iowa","grinnell:16573","Public Library, Logan, Iowa",NA,NA,NA,NA,NA,"still image","Cultural facilities, Public libraries",NA
"6245","Public Library, Vinton, Iowa","grinnell:14842","Public Library, Vinton, Iowa",NA,"Wallace, Guy, Vinton, Iowa",NA,NA,NA,"still image","Cultural facilities, Public libraries, Women",NA
"6246","Public Library, Winterset, Iowa","grinnell:14723","Public Library, Winterset, Iowa",NA,NA,NA,NA,NA,"still image","Cultural facilities, Public libraries",NA
"6247","Public School Building, Manilla, Iowa","grinnell:15478","Public School Building, Manilla, Iowa",NA,"B.W. Smethurst & Co., Manilla, Iowa",NA,NA,NA,"still image","Educational facilities, Schools, Public schools",NA
"6248","Public School Buildings, Iowa Falls, Iowa","grinnell:15721","Public School Buildings, Iowa Falls, Iowa",NA,"Kennedy Gardner & Co., Iowa Falls, Iowa",NA,NA,NA,"still image","Educational facilities, Schools, Public schools",NA
"6249","Public School Buildings, Jewell, Iowa","grinnell:15710","Public School Buildings, Jewell, Iowa",NA,"L.L. Cook Co., Milwaukee, [Wis.]",NA,NA,NA,"still image","Educational facilities, Schools, Public schools",NA
"6250","Public School Diploma, Poweshiek County, Iowa","grinnell:17787","Diploma presented to Raymond Pilgrim by the County Superintendent of Schools, Poweshiek County, Iowa, on March 28, 1907. The diploma indicates that he has ""completed the Common School Course of Study in a satisfactory manner [and] is considered well prepared to do good work in any High School or Academy."" He attended School No.8 in Grinnell Township. The diploma is signed by Elizabeth McIlrath, teacher, and Estelle Coon, county superintendent.",NA,"Poweshiek History Preservation Project",1907,"Digital Grinnell, Poweshiek History Preservation Project","1900s, Grinnell, Education","text","Pilgrim, Raymond S., 1892-1969, Diplomas, Education, Elementary, Rural schools","Grinnell (Iowa)"
"6251","Public School and Bluff, Hamburg, Iowa","grinnell:16711","Public School and Bluff, Hamburg, Iowa",NA,"Scranton's Bazaar, Importers and Publishers, Hamburg, Iowa",NA,NA,NA,"still image","Educational facilities, Schools, Aerial views, Public schools",NA
"6252","Public School, Dows, Iowa","grinnell:16059","Public School, Dows, Iowa",NA,"Big 4 Post Card Co., Albert Lea, Minn.",NA,NA,NA,"still image","Educational facilities, Schools, Public schools",NA
"6253","Public School, Earlville, Iowa","grinnell:16015","Public School, Earlville, Iowa",NA,NA,NA,NA,NA,"still image","Educational facilities, Schools, Public schools",NA
"6254","Public School, Garner, Iowa","grinnell:16740","Public School, Garner, Iowa",NA,NA,NA,NA,NA,"still image","Educational facilities, Schools, Public schools",NA
"6255","Public School, Germania, Iowa","grinnell:15889","Public School, Germania, Iowa",NA,NA,NA,NA,NA,"still image","Educational facilities, Schools, Public schools",NA
"6256","Public School, Glidden, Iowa","grinnell:15870","This two story brick building with a belfry was built at the turn of the century. The1909 postmark. Number 1050.",NA,"Hughes, J.B., Boone, Iowa",1909,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Schools, Public schools, Educational facilities, Carroll County (Iowa), Glidden (Iowa)",NA
"6257","Public School, Hastings, Iowa","grinnell:16696","Public School, Hastings, Iowa",NA,NA,NA,NA,NA,"still image","Educational facilities, Schools, Public schools",NA
"6258","Public School, Holstein, Iowa","grinnell:15785","Public School, Holstein, Iowa",NA,"P. Schmidt & Co., Chicago, Ill.",NA,NA,NA,"still image","Educational facilities, Schools, Public schools",NA
"6259","Public School, Ida Grove, Iowa","grinnell:15765","Public School, Ida Grove, Iowa",NA,NA,NA,NA,NA,"still image","Educational facilities, Schools, Public schools",NA
"6260","Public School, Kanawha, Iowa","grinnell:16630","Public School, Kanawha, Iowa",NA,NA,NA,NA,NA,"still image","Educational facilities, Schools, Public schools, School children, Teachers",NA
"6261","Public School, Lansing, Iowa","grinnell:15599","Public School, Lansing, Iowa",NA,NA,NA,NA,NA,"still image","Educational facilities, Schools, Public schools",NA
"6262","Public School, Latimer, Iowa","grinnell:16592","Public School, Latimer, Iowa",NA,NA,NA,NA,NA,"still image","Educational facilities, Schools, Public schools",NA
